cell_id,cycle,capacity_mAh,v_dc_mean,v_dc_std,v_dc_min,v_dc_max,v_dc_range,T_dc_mean,T_dc_std,T_dc_min,T_dc_max,T_dc_range,t_dc_duration_s,v_ch_mean,v_ch_std,v_ch_min,v_ch_max,v_ch_range,T_ch_mean,T_ch_std,T_ch_min,T_ch_max,T_ch_range,t_ch_duration_s,ocv_slope_mean,ocv_slope_std,ocv_slope_p25,ocv_slope_p50,ocv_slope_p75,SoH,y_next
Cell1,0,739.1109210621779,3.7350762212583146,0.2453883357600442,2.6998193,4.1912351,1.4914158,40.41933992433481,0.3469874083498987,39.901646,41.174809,1.2731630000000038,0.0417399322614073,3.8196639273219377,0.221041183678396,2.7192132,4.1999769,1.4807637000000002,40.0495192045584,0.3213359835225624,39.314987,41.295536,1.9805489999999963,0.0406095759244635,0.002015375946126,0.0058717767281245,-0.0007496993290506,0.0014974446187789,0.0037486263002386,1.0,730.1929494056872
Cell1,100,730.1929494056872,3.7356805096774193,0.2449379542464282,2.6998594,4.1926785,1.4928191000000006,40.32711510434782,0.3724965867663156,39.801758,41.124866,1.3231079999999975,0.0412447227863594,3.8217150832852194,0.2198476511519838,2.7196143,4.200017,1.4804027,39.99398311893764,0.3199765621481127,39.277512,40.980995,1.7034829999999983,0.0400728654349222,0.0020340865461012,0.0058970464846842,-0.0007500230146816,0.0014984391800919,0.003749867562937,0.9879341903869114,725.7467375962049
Cell1,200,725.7467375962049,3.73642431721219,0.2444333473553329,2.7000198,4.1929593,1.4929395,40.327297584650104,0.364539661878303,39.814266,41.1124,1.2981339999999977,0.0409969992469996,3.822390976983435,0.2198052408682061,2.7197745,4.1998968,1.4801223,39.99257669892472,0.3207464835742304,39.265045,41.243099,1.978054,0.0398134152637794,0.0020400591395305,0.0058922721521798,-0.0007496539918914,0.0014974746325239,0.0037485301293229,0.9819185685326264,722.8431973239306
Cell1,300,722.8431973239306,3.736473817903683,0.2438919794417741,2.6999636,4.192502,1.4925384000000004,40.32204489546742,0.3738844620021537,39.789291,41.124866,1.3355749999999986,0.0408340713474899,3.822892945491683,0.2203720587965322,2.7206407,4.1998005,1.4791598,40.00688269536037,0.3210902717833054,39.290016,40.928558,1.638542000000001,0.039645105949603,0.0020577118824544,0.005968315466357,-0.0007533853343284,0.0015048867653168,0.0037666312641395,0.9779901456267632,718.3668958430143
Cell1,400,718.3668958430143,3.7376955802965495,0.2427472093769365,2.7001641,4.1927824,1.4926182999999995,40.314725823210715,0.3731092899592235,39.789291,41.124866,1.3355749999999986,0.0405774272512644,3.8238350960340775,0.2199517740317531,2.7208812,4.1998806,1.4789994000000002,39.98891699559342,0.3226346306705965,39.252537,40.862762,1.6102249999999998,0.0393801856553182,0.0020617895884794,0.0059955840683976,-0.0007503015940071,0.0014991346282717,0.0037518772658744,0.971933813142211,714.9787006955092
Cell1,500,714.9787006955092,3.738026414981381,0.2423992122579503,2.6998432,4.1929832,1.4931399999999997,40.334303672300194,0.3694760844911454,39.801758,41.124866,1.3231079999999975,0.040390201495029,3.824572174704841,0.2198705195286528,2.7208812,4.2000809,1.4791996999999997,40.01196160979929,0.3191013694011814,39.290016,41.085831,1.7958149999999975,0.0391921245027333,0.0020732958981562,0.0060233747774981,-0.0007510592628803,0.0015012683024699,0.0037571419604373,0.9673496633874816,711.6204053941345
Cell1,600,711.6204053941345,3.738322718618705,0.2418621813790116,2.6999636,4.1929431,1.4929795,40.30517850503597,0.3682163812072631,39.776787,41.087425,1.3106380000000044,0.0402071855496615,3.825224843785227,0.2197720158574223,2.7218437,4.1999207,1.478077,39.98032709314742,0.3175805930617815,39.265045,40.862762,1.5977169999999958,0.039003990474157,0.0020825892713384,0.0061045372115522,-0.0007515164629648,0.0015014060703452,0.0037587178599023,0.9628059674337692,709.5321170323996
Cell1,700,709.5321170323996,3.738288945151954,0.2414619845741225,2.7002044,4.1923819,1.4921775,40.36040864196815,0.3744533234119593,39.814266,41.174809,1.3605429999999998,0.0399721638532355,3.8258850745541024,0.2199283589000963,2.7357342,4.1999211,1.4641869,40.0565809580856,0.3257934108731276,39.302483,40.950142,1.647658999999997,0.0389195643365383,0.0020906731808151,0.0060697854248091,-0.0007228142322664,0.0014438322484803,0.0036140856308972,0.9599805615275302,705.8480111354505
Cell1,800,705.8480111354505,3.738883878062264,0.2409951970047458,2.7002444,4.1927028,1.4924584000000003,40.378438329938895,0.3867198153340496,39.801758,41.174809,1.3730510000000038,0.0397640323499217,3.8268265181763823,0.2195289489127838,2.7356942,4.2000413,1.4643470999999997,40.06715962451421,0.3230610050614754,39.33992,40.925171,1.5852509999999995,0.0386927073122933,0.0021037983584071,0.0061202611332527,-0.0007227223660846,0.0014436589716087,0.0036136367997425,0.9549960513654362,702.5449768529222
Cell1,900,702.5449768529222,3.7392403858520904,0.2404463248957444,2.700084,4.1927428,1.4926588000000005,40.38455092692195,0.3889653465691384,39.8517,41.212246,1.3605459999999994,0.0395796331577003,3.827630611057693,0.2192289697617122,2.7358947,4.1999612,1.4640665,40.05644902433893,0.3221114193635993,39.314987,41.025017,1.7100299999999962,0.0385030675679445,0.0021118826473169,0.0061739414376091,-0.0007227038574749,0.0014436247398002,0.003613632693095,0.9505271222934892,699.4156477527364
Cell1,1000,699.4156477527364,3.739524627128597,0.2399665600022667,2.6999238,4.1925821,1.4926583,40.36335875513799,0.3824628233854628,39.839233,41.174809,1.3355760000000032,0.0394058881793171,3.8285608102626014,0.218939655084922,2.7356141,4.2000413,1.4644271999999998,40.01495668548144,0.32360326722362,39.265045,40.912663,1.6476180000000014,0.0383239706279709,0.0021206606013569,0.0061905353985309,-0.0007227190862305,0.0014436862559175,0.0036137396493222,0.9462932123200192,696.2835912151658
Cell1,1100,696.2835912151658,3.739851762518431,0.2396157331768884,2.6998034,4.192502,1.4926986000000002,40.43320337776467,0.3775002775970831,39.876675,41.262188,1.385513000000003,0.0392295748461037,3.82932783218077,0.2186361285039801,2.7352931,4.1998005,1.4645074000000005,40.08509525720353,0.3332909021230109,39.352425,40.975075,1.62265,0.0381438002223148,0.0021298909216243,0.0062604911268216,-0.0007227477536223,0.0014437234733882,0.003613857930902,0.9420556121867812,693.2672854322545
