cell_id,cycle,capacity_mAh,v_dc_mean,v_dc_std,v_dc_min,v_dc_max,v_dc_range,T_dc_mean,T_dc_std,T_dc_min,T_dc_max,T_dc_range,t_dc_duration_s,v_ch_mean,v_ch_std,v_ch_min,v_ch_max,v_ch_range,T_ch_mean,T_ch_std,T_ch_min,T_ch_max,T_ch_range,t_ch_duration_s,ocv_slope_mean,ocv_slope_std,ocv_slope_p25,ocv_slope_p50,ocv_slope_p75,SoH
Cell1,0,739.1109210621779,3.7350762212583146,0.24538833576004423,2.6998193,4.1912351,1.4914158,40.41933992433481,0.3469874083498987,39.901646,41.174809,1.2731630000000038,0.041739932261407375,3.8196639273219373,0.22104118367839606,2.7192132,4.1999769,1.4807637000000002,40.0495192045584,0.3213359835225624,39.314987,41.295536,1.9805489999999963,0.04060957592446357,0.002015375946126038,0.005871776728124539,-0.000749699329050622,0.0014974446187789666,0.003748626300238672,1.0
Cell1,100,730.1929494056872,3.7356805096774193,0.2449379542464282,2.6998594,4.1926785,1.4928191000000006,40.32711510434782,0.37249658676631564,39.801758,41.124866,1.3231079999999977,0.04124472278635949,3.8217150832852194,0.21984765115198382,2.7196143,4.200017,1.4804027,39.99398311893764,0.3199765621481127,39.277512,40.980995,1.7034829999999985,0.04007286543492228,0.0020340865461012155,0.005897046484684215,-0.0007500230146816427,0.0014984391800919067,0.003749867562937018,0.9879341903869114
Cell1,200,725.7467375962049,3.7364243172121894,0.24443334735533298,2.7000198,4.1929593,1.4929394999999999,40.327297584650104,0.364539661878303,39.814266,41.1124,1.2981339999999975,0.04099699924699962,3.822390976983435,0.2198052408682061,2.7197745,4.1998968,1.4801223000000001,39.99257669892472,0.32074648357423047,39.265045,41.243099,1.9780540000000002,0.03981341526377946,0.0020400591395305042,0.0058922721521798525,-0.0007496539918914809,0.0014974746325239305,0.0037485301293229004,0.9819185685326265
Cell1,300,722.8431973239306,3.736473817903683,0.24389197944177418,2.6999636,4.192502,1.4925384000000004,40.32204489546742,0.37388446200215375,39.789291,41.124866,1.3355749999999986,0.04083407134748995,3.8228929454916836,0.2203720587965322,2.7206407,4.1998005,1.4791598000000001,40.00688269536037,0.32109027178330546,39.290016,40.928558,1.638542000000001,0.03964510594960302,0.0020577118824544483,0.005968315466357049,-0.0007533853343284563,0.0015048867653168615,0.0037666312641395586,0.9779901456267633
Cell1,400,718.3668958430143,3.7376955802965495,0.2427472093769365,2.7001641,4.1927824,1.4926182999999997,40.314725823210715,0.3731092899592235,39.789291,41.124866,1.3355749999999986,0.04057742725126445,3.8238350960340775,0.2199517740317531,2.7208812,4.1998806,1.4789994000000002,39.98891699559342,0.3226346306705965,39.252537,40.862762,1.6102249999999998,0.0393801856553182,0.0020617895884794887,0.00599558406839763,-0.0007503015940071555,0.0014991346282717747,0.003751877265874429,0.971933813142211
Cell1,500,714.9787006955092,3.7380264149813804,0.2423992122579503,2.6998432,4.1929832,1.4931399999999995,40.334303672300194,0.3694760844911454,39.801758,41.124866,1.3231079999999977,0.04039020149502903,3.824572174704841,0.21987051952865286,2.7208812,4.2000809,1.4791996999999997,40.01196160979929,0.3191013694011814,39.290016,41.085831,1.7958149999999975,0.03919212450273335,0.002073295898156291,0.006023374777498134,-0.0007510592628803988,0.0015012683024699437,0.0037571419604373827,0.9673496633874815
Cell1,600,711.6204053941345,3.738322718618705,0.24186218137901166,2.6999636,4.1929431,1.4929795000000001,40.30517850503597,0.3682163812072631,39.776787,41.087425,1.3106380000000044,0.04020718554966152,3.825224843785227,0.21977201585742231,2.7218437,4.1999207,1.4780769999999999,39.98032709314742,0.3175805930617815,39.265045,40.862762,1.5977169999999958,0.039003990474157035,0.002082589271338422,0.006104537211552268,-0.000751516462964802,0.0015014060703452702,0.0037587178599023194,0.9628059674337693
Cell1,700,709.5321170323996,3.738288945151954,0.24146198457412257,2.7002044,4.1923819,1.4921775,40.36040864196815,0.3744533234119593,39.814266,41.174809,1.3605429999999998,0.03997216385323554,3.8258850745541024,0.21992835890009638,2.7357342,4.1999211,1.4641869,40.056580958085604,0.32579341087312763,39.302483,40.950142,1.6476589999999973,0.038919564336538315,0.002090673180815188,0.006069785424809103,-0.0007228142322664508,0.0014438322484803426,0.003614085630897243,0.9599805615275302
Cell1,800,705.8480111354505,3.7388838780622637,0.2409951970047458,2.7002444,4.1927028,1.4924584000000003,40.378438329938895,0.38671981533404964,39.801758,41.174809,1.3730510000000038,0.03976403234992176,3.8268265181763828,0.21952894891278385,2.7356942,4.2000413,1.4643470999999995,40.067159624514204,0.32306100506147545,39.33992,40.925171,1.5852509999999995,0.03869270731229335,0.002103798358407109,0.006120261133252742,-0.0007227223660846245,0.0014436589716087342,0.003613636799742557,0.9549960513654362
Cell1,900,702.5449768529222,3.7392403858520904,0.24044632489574444,2.700084,4.1927428,1.4926588000000005,40.38455092692195,0.38896534656913845,39.8517,41.212246,1.3605459999999994,0.0395796331577003,3.8276306110576925,0.21922896976171222,2.7358947,4.1999612,1.4640665,40.05644902433893,0.3221114193635993,39.314987,41.025017,1.7100299999999962,0.03850306756794453,0.002111882647316973,0.0061739414376091924,-0.0007227038574749505,0.0014436247398002505,0.0036136326930950318,0.9505271222934892
